dosage,2-cell asi,condition
0.94303729,0.55484966,wt
0.95726517,0.60756041,wt
1.01900715,0.57401827,wt
0.4786526,0.56256596,rnai
0.32916005,0.55462065,rnai
0.470699,0.57613262,rnai
0.35410582,0.56097341,rnai
0.39664983,0.57215285,rnai
0.35177503,0.53975016,rnai
0.48556725,0.58415516,rnai
0.40474415,0.56738866,rnai
0.66742623,0.55379105,rnai
0.31231981,0.54237288,rnai
0.22297389,0.55147153,rnai
0.23631236,0.56716798,rnai
0.40982133,0.57060583,rnai
0.19949949,0.52901816,rnai
0.22455152,0.57763694,rnai
0.20355202,0.51498506,rnai
0.22468331,0.52119655,rnai
0.90637275,0.58743193,wt
0.94933466,0.60185893,wt
1.09259632,0.57484847,wt
0.83878996,0.57082351,rnai
0.44816624,0.58013329,rnai
0.96053043,0.58853458,rnai
0.97069823,0.56761479,rnai
0.88910516,0.5694177,rnai
0.92789761,0.56817889,rnai
0.79262619,0.56602858,rnai
0.80410539,0.57524304,rnai
0.75892882,0.60549313,rnai
0.63049453,0.58040988,rnai
1.13078112,,wt
0.94367332,,wt
0.93706817,,wt
0.68055805,0.58605565,rnai
0.35299332,0.55267703,rnai
0.49408053,0.5707084,rnai
0.41291991,0.57244623,rnai
0.48271197,0.58127413,rnai
0.42320287,0.5633145,rnai
0.34663454,0.58744375,rnai
0.29752865,0.55525479,rnai
0.26997606,0.54184207,rnai
0.4547052,0.55268417,rnai
0.34058077,0.54075765,rnai
1.03302961,,wt
1.00396345,,wt
1.18667738,0.5907206,wt
1.01864525,0.5847566,wt
0.98201796,0.58673133,wt
0.99045189,0.58811638,wt
0.38774328,0.55418357,rnai
0.48573705,0.5743004,rnai
0.34454283,0.56808865,rnai
0.35257608,0.55905192,rnai
0.2441528,0.52578583,rnai
0.25933082,0.55440578,rnai
0.16570095,0.52513504,rnai
0.27099285,0.55712751,rnai
0.20594999,0.5169032,rnai
0.16226637,0.5256855,rnai
0.13868796,0.52972851,rnai
0.93888522,0.58340837,wt
0.95839734,0.57938795,wt
1.00879595,0.57946662,wt
0.27699726,0.55166975,rnai
0.33148223,0.5611387,rnai
0.35338921,0.58824344,rnai
0.09719641,0.51087954,rnai
0.16178029,0.50205095,rnai
0.19277315,0.53822659,rnai
0.71110083,0.59780444,het
0.71914125,0.56382256,het
0.73735186,0.58689064,het
0.72322341,0.56762195,het
0.69047916,0.56964409,het
0.69081168,0.57958928,het
0.71282111,0.59126683,het
0.76432889,0.58944515,het
0.70219181,0.59973133,het
0.57011617,0.5934701,het
0.66988871,0.57127665,het
0.64634953,0.53781951,het
0.80376207,0.59507306,het
0.6171391,0.59093291,het
0.62127188,0.57852596,het